timestamp_unix,latency_ms,ok,http_status,instance,error
1782084214.492732,4.298,1,200,inference-gateway-78cbd9f4cc-6tmfp,
1782084214.593635,3.286,1,200,inference-gateway-78cbd9f4cc-gm9b5,
1782084214.694612,4.285,1,200,inference-gateway-78cbd9f4cc-6tmfp,
1782084214.796520,4.363,1,200,inference-gateway-78cbd9f4cc-gm9b5,
1782084214.902249,6.478,1,200,inference-gateway-78cbd9f4cc-6tmfp,
1782084215.003666,4.275,1,200,inference-gateway-78cbd9f4cc-6tmfp,
1782084215.104796,2.590,1,200,inference-gateway-78cbd9f4cc-gm9b5,
1782084215.205780,4.096,1,200,inference-gateway-78cbd9f4cc-6tmfp,
1782084215.306618,4.027,1,200,inference-gateway-78cbd9f4cc-6tmfp,
1782084215.408244,4.286,1,200,inference-gateway-78cbd9f4cc-6tmfp,
1782084215.510085,4.668,1,200,inference-gateway-78cbd9f4cc-6tmfp,
1782084215.611337,4.435,1,200,inference-gateway-78cbd9f4cc-6tmfp,
1782084215.713672,4.881,1,200,inference-gateway-78cbd9f4cc-gm9b5,
1782084215.815583,4.336,1,200,inference-gateway-78cbd9f4cc-6tmfp,
1782084215.917823,3.914,1,200,inference-gateway-78cbd9f4cc-gm9b5,
1782084216.018636,4.125,1,200,inference-gateway-78cbd9f4cc-6tmfp,
1782084216.120363,2.279,1,200,inference-gateway-78cbd9f4cc-6tmfp,
1782084216.222783,3.254,1,200,inference-gateway-78cbd9f4cc-6tmfp,
1782084216.323497,16.035,1,200,inference-gateway-78cbd9f4cc-6tmfp,
1782084216.425183,7.757,1,200,inference-gateway-78cbd9f4cc-6tmfp,
1782084216.525781,3.856,1,200,inference-gateway-78cbd9f4cc-6tmfp,
1782084216.628545,1.858,1,200,inference-gateway-78cbd9f4cc-gm9b5,
1782084216.731622,6.341,1,200,inference-gateway-78cbd9f4cc-gm9b5,
1782084216.833456,1.637,1,200,inference-gateway-78cbd9f4cc-gm9b5,
1782084216.934740,1.455,1,200,inference-gateway-78cbd9f4cc-gm9b5,
1782084217.042743,1.953,1,200,inference-gateway-78cbd9f4cc-6tmfp,
1782084217.154309,4.225,1,200,inference-gateway-78cbd9f4cc-gm9b5,
1782084217.256585,1.889,1,200,inference-gateway-78cbd9f4cc-gm9b5,
1782084217.359299,1.334,1,200,inference-gateway-78cbd9f4cc-gm9b5,
1782084217.459526,1.560,1,200,inference-gateway-78cbd9f4cc-gm9b5,
1782084217.560816,5.202,1,200,inference-gateway-78cbd9f4cc-gm9b5,
1782084217.661765,2.289,1,200,inference-gateway-78cbd9f4cc-gm9b5,
1782084217.762665,3.137,1,200,inference-gateway-78cbd9f4cc-6tmfp,
1782084217.863460,2.546,1,200,inference-gateway-78cbd9f4cc-gm9b5,
1782084217.964232,5.121,1,200,inference-gateway-78cbd9f4cc-6tmfp,
1782084218.066272,2.780,1,200,inference-gateway-78cbd9f4cc-6tmfp,
1782084218.167454,2.683,1,200,inference-gateway-78cbd9f4cc-6tmfp,
1782084218.269496,2.440,1,200,inference-gateway-78cbd9f4cc-6tmfp,
1782084218.370459,26.932,1,200,inference-gateway-78cbd9f4cc-6tmfp,
1782084218.471488,1.175,1,200,inference-gateway-78cbd9f4cc-6tmfp,
1782084218.577258,2.275,1,200,inference-gateway-78cbd9f4cc-gm9b5,
1782084218.678456,1.157,1,200,inference-gateway-78cbd9f4cc-gm9b5,
1782084218.784164,7.364,1,200,inference-gateway-78cbd9f4cc-gm9b5,
1782084218.902155,6.317,1,200,inference-gateway-78cbd9f4cc-gm9b5,
1782084219.002458,4.490,1,200,inference-gateway-78cbd9f4cc-6tmfp,
1782084219.103614,5.429,1,200,inference-gateway-78cbd9f4cc-6tmfp,
1782084219.203825,4.299,1,200,inference-gateway-78cbd9f4cc-6tmfp,
1782084219.305831,5.626,1,200,inference-gateway-78cbd9f4cc-6tmfp,
1782084219.408678,5.348,1,200,inference-gateway-78cbd9f4cc-6tmfp,
1782084219.510363,5.116,1,200,inference-gateway-78cbd9f4cc-6tmfp,
1782084219.614811,5.070,1,200,inference-gateway-78cbd9f4cc-gm9b5,
1782084219.715569,4.784,1,200,inference-gateway-78cbd9f4cc-gm9b5,
1782084219.816808,4.746,1,200,inference-gateway-78cbd9f4cc-gm9b5,
1782084219.917543,3.921,1,200,inference-gateway-78cbd9f4cc-6tmfp,
1782084220.018665,5.371,1,200,inference-gateway-78cbd9f4cc-gm9b5,
1782084220.119545,2.064,1,200,inference-gateway-78cbd9f4cc-gm9b5,
1782084220.220622,2.134,1,200,inference-gateway-78cbd9f4cc-6tmfp,
1782084220.321470,4.123,1,200,inference-gateway-78cbd9f4cc-gm9b5,
1782084220.425312,4.014,1,200,inference-gateway-78cbd9f4cc-gm9b5,
1782084220.526473,4.137,1,200,inference-gateway-78cbd9f4cc-6tmfp,
1782084220.630768,4.605,1,200,inference-gateway-78cbd9f4cc-6tmfp,
1782084220.731604,4.306,1,200,inference-gateway-78cbd9f4cc-gm9b5,
1782084220.832976,4.625,1,200,inference-gateway-78cbd9f4cc-gm9b5,
1782084220.933591,4.287,1,200,inference-gateway-78cbd9f4cc-6tmfp,
1782084221.034482,4.369,1,200,inference-gateway-78cbd9f4cc-6tmfp,
1782084221.135370,4.348,1,200,inference-gateway-78cbd9f4cc-gm9b5,
1782084221.237971,4.941,1,200,inference-gateway-78cbd9f4cc-gm9b5,
1782084221.340814,4.186,1,200,inference-gateway-78cbd9f4cc-6tmfp,
1782084221.441590,4.521,1,200,inference-gateway-78cbd9f4cc-6tmfp,
1782084221.545206,4.424,1,200,inference-gateway-78cbd9f4cc-6tmfp,
1782084221.645854,4.467,1,200,inference-gateway-78cbd9f4cc-gm9b5,
1782084221.746566,4.408,1,200,inference-gateway-78cbd9f4cc-6tmfp,
1782084221.847563,4.014,1,200,inference-gateway-78cbd9f4cc-gm9b5,
1782084221.948445,4.569,1,200,inference-gateway-78cbd9f4cc-gm9b5,
1782084222.048646,4.102,1,200,inference-gateway-78cbd9f4cc-6tmfp,
1782084222.149474,5.545,1,200,inference-gateway-78cbd9f4cc-gm9b5,
1782084222.250812,3.740,1,200,inference-gateway-78cbd9f4cc-6tmfp,
1782084222.355458,4.025,1,200,inference-gateway-78cbd9f4cc-6tmfp,
1782084222.457421,4.613,1,200,inference-gateway-78cbd9f4cc-gm9b5,
1782084222.558538,1.343,1,200,inference-gateway-78cbd9f4cc-6tmfp,
1782084222.660790,3.308,1,200,inference-gateway-78cbd9f4cc-gm9b5,
1782084222.761575,4.133,1,200,inference-gateway-78cbd9f4cc-6tmfp,
1782084222.863577,4.456,1,200,inference-gateway-78cbd9f4cc-gm9b5,
1782084222.965122,4.777,1,200,inference-gateway-78cbd9f4cc-6tmfp,
1782084223.066919,4.763,1,200,inference-gateway-78cbd9f4cc-gm9b5,
1782084223.167441,3.986,1,200,inference-gateway-78cbd9f4cc-gm9b5,
1782084223.270474,4.511,1,200,inference-gateway-78cbd9f4cc-gm9b5,
1782084223.373319,4.748,1,200,inference-gateway-78cbd9f4cc-gm9b5,
1782084223.475066,4.242,1,200,inference-gateway-78cbd9f4cc-gm9b5,
1782084223.576591,3.454,1,200,inference-gateway-78cbd9f4cc-gm9b5,
1782084223.678571,4.394,1,200,inference-gateway-78cbd9f4cc-gm9b5,
1782084223.779531,4.190,1,200,inference-gateway-78cbd9f4cc-6tmfp,
1782084223.881709,4.879,1,200,inference-gateway-78cbd9f4cc-6tmfp,
1782084223.982526,4.478,1,200,inference-gateway-78cbd9f4cc-gm9b5,
1782084224.083925,4.205,1,200,inference-gateway-78cbd9f4cc-gm9b5,
1782084224.184477,4.457,1,200,inference-gateway-78cbd9f4cc-gm9b5,
1782084224.286033,4.991,1,200,inference-gateway-78cbd9f4cc-6tmfp,
1782084224.386657,4.471,1,200,inference-gateway-78cbd9f4cc-6tmfp,
1782084224.487027,1.137,1,200,inference-gateway-78cbd9f4cc-6tmfp,
1782084224.587889,1.357,1,200,inference-gateway-78cbd9f4cc-6tmfp,
1782084224.688988,2.638,1,200,inference-gateway-78cbd9f4cc-6tmfp,
1782084224.790574,4.850,1,200,inference-gateway-78cbd9f4cc-6tmfp,
1782084224.893783,4.824,1,200,inference-gateway-78cbd9f4cc-6tmfp,
1782084224.997640,5.321,1,200,inference-gateway-78cbd9f4cc-gm9b5,
1782084225.103070,4.334,1,200,inference-gateway-78cbd9f4cc-gm9b5,
1782084225.203625,1.691,1,200,inference-gateway-78cbd9f4cc-gm9b5,
1782084225.304604,4.268,1,200,inference-gateway-78cbd9f4cc-6tmfp,
1782084225.406081,4.490,1,200,inference-gateway-78cbd9f4cc-gm9b5,
1782084225.506460,4.310,1,200,inference-gateway-78cbd9f4cc-6tmfp,
