ts,running,waiting,kv_cache_usage_perc,error
1783033520.3717995,16.0,16.0,0.015693801512927652,
1783033520.4774063,16.0,16.0,0.016295961762824107,
1783033520.5844922,16.0,16.0,0.016295961762824107,
1783033520.6898868,16.0,16.0,0.016295961762824107,
1783033520.7949512,16.0,16.0,0.016295961762824107,
1783033520.9000738,16.0,16.0,0.016295961762824107,
1783033521.0055158,16.0,16.0,0.016371231794061192,
1783033521.1109138,16.0,16.0,0.016898122012720673,
1783033521.2159634,16.0,16.0,0.016898122012720673,
1783033521.3213356,16.0,16.0,0.016898122012720673,
1783033521.426353,16.0,16.0,0.016898122012720673,
1783033521.531442,16.0,16.0,0.016898122012720673,
1783033521.6364784,16.0,16.0,0.01750028226261713,
1783033521.7415876,16.0,16.0,0.01750028226261713,
1783033521.846684,16.0,16.0,0.01750028226261713,
1783033521.9529338,16.0,16.0,0.01750028226261713,
1783033522.05834,16.0,16.0,0.01750028226261713,
1783033522.1636558,16.0,16.0,0.01750028226261713,
1783033522.2691927,16.0,16.0,0.018102442512513695,
1783033522.375025,16.0,16.0,0.018102442512513695,
1783033522.480209,16.0,16.0,0.018102442512513695,
1783033522.5856032,16.0,16.0,0.018102442512513695,
1783033522.6906984,16.0,16.0,0.018102442512513695,
1783033522.7958755,16.0,16.0,0.018177712543750668,
1783033522.9010222,16.0,16.0,0.01870460276241015,
1783033523.0065475,16.0,16.0,0.01870460276241015,
1783033523.1116126,16.0,16.0,0.01870460276241015,
1783033523.2169688,16.0,16.0,0.01870460276241015,
1783033523.3223627,16.0,16.0,0.01870460276241015,
1783033523.4274373,16.0,16.0,0.019306763012306605,
1783033523.5324833,16.0,16.0,0.019306763012306605,
1783033523.6374927,16.0,16.0,0.019306763012306605,
1783033523.7425716,16.0,16.0,0.019306763012306605,
1783033523.8476596,16.0,16.0,0.019306763012306605,
1783033523.952723,16.0,16.0,0.019306763012306605,
1783033524.0577574,16.0,16.0,0.01990892326220317,
